year,index
1871.0,-8.439521
1872.0,-8.693379
1873.0,-8.408936
1874.0,-8.359843
1875.0,-8.407114
1876.0,-8.418817
1877.0,-8.545963
1878.0,-8.551431
1879.0,-8.365034
1880.0,-8.640082
1881.0,-8.511592
1882.0,-8.600808
1883.0,-8.780645
1884.0,-8.655803
1885.0,-8.631998
1886.0,-8.422674
1887.0,-8.2658
1888.0,-7.929322
1889.0,-8.440497
1890.0,-8.406281
1891.0,-8.119519
1892.0,-8.336809
1893.0,-8.207296
1894.0,-8.56901
1895.0,-8.557622
1896.0,-8.556822
1897.0,-8.497299
1898.0,-8.451528
1899.0,-8.240735
1900.0,-8.261797
1901.0,-8.517821
1902.0,-8.339844
1903.0,-8.663102
1904.0,-8.672101
1905.0,-8.587029
1906.0,-8.532405
1907.0,-8.188454
1908.0,-8.343501
1909.0,-8.295096
1910.0,-8.213141
1911.0,-8.305594
1912.0,-8.831867
1913.0,-8.920407
1914.0,-8.839794
1915.0,-8.495165
1916.0,-8.310744
1917.0,-8.166034
1918.0,-8.079217
1919.0,-8.668176
1920.0,-8.688969
1921.0,-8.940857
1922.0,-8.680516
1923.0,-8.606716
1924.0,-8.367244
1925.0,-8.557209
1926.0,-8.578496
1927.0,-8.361843
1928.0,-8.58256
1929.0,-8.450698
1930.0,-8.860621
1931.0,-8.379673
1932.0,-8.300655
1933.0,-8.478072
1934.0,-8.479221
1935.0,-8.464644
1936.0,-8.324041
1937.0,-8.658728
1938.0,-8.382751
1939.0,-8.444999
1940.0,-8.522353
1941.0,-8.570842
1942.0,-8.511259
1943.0,-8.589824
1944.0,-8.401328
1945.0,-8.293125
1946.0,-8.65859
1947.0,-8.917906
1948.0,-8.747154
1949.0,-8.8464
1950.0,-8.732506
1951.0,-8.269868
1952.0,-8.514929
1953.0,-8.109595
1954.0,-8.496405
1955.0,-8.195328
1956.0,-8.127052
1957.0,-8.573155
1958.0,-8.415984
1959.0,-8.754937
1960.0,-8.804456
1961.0,-8.916993
1962.0,-8.616795
1963.0,-8.639308
1964.0,-8.754333
1965.0,-8.311646
1966.0,-8.699867
1967.0,-8.425551
1968.0,-8.579078
1969.0,-9.078416
1970.0,-8.876469
1971.0,-8.881908
1972.0,-9.033046
1973.0,-9.346647
1974.0,-9.107917
1975.0,-9.051386
1976.0,-8.861938
1977.0,-9.114447
1978.0,-8.897718
1979.0,-8.925042
1980.0,-9.080981
1981.0,-8.708788
1982.0,-8.861086
1983.0,-9.193546
1984.0,-9.048637
1985.0,-9.197145
1986.0,-9.20772
1987.0,-9.072516
1988.0,-9.407978
1989.0,-9.34604
1990.0,-9.319565
1991.0,-9.238538
1992.0,-8.974513
1993.0,-9.583952
1994.0,-9.400744
1995.0,-9.094981
1996.0,-8.924418
1997.0,-8.733369
1998.0,-8.772833
1999.0,-8.689458
2000.0,-8.596322
2001.0,-8.880467
2002.0,-8.657423
2003.0,-8.857696
2004.0,-8.787013
2005.0,-8.492559
2006.0,-8.459139
2007.0,-8.732506
2008.0,-8.623238
2009.0,-8.817147
2010.0,-8.89829
2011.0,-8.610168
2012.0,-8.863189
2013.0,-8.75924
2014.0,-9.291162
2015.0,-9.457081
2016.0,-9.618664
