/* DATA DESCRIPTION:
Citation:	Mjell, Tor Lien; Ninnemann, Ulysses S; Eldevik, Tor; Kleiven, Helga F (2019): Sortable silt record of sediment core GS06-144-08GC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899461
Abstract:	The Nordic Seas overflows are an important part of the Atlantic thermohaline circulation. While there is growing evidence that the overflow of dense water changed on orbital time scales during the Holocene, less is known about the variability on shorter time scales beyond the instrumental record. Here we reconstruct the relative changes in flow strength of Iceland-Scotland Overflow Water (ISOW), the eastern branch of the overflows, on multidecadal-millennial time scales. The reconstruction is based on mean sortable silt (SS) from a sediment core on the Gardar Drift (60°19′N, 23°58′W, 2081 m). Our SS record reveals that the main variance in ISOW vigor occurred on millennial time scales (1-2 kyr) with particularly prominent fluctuations after 8 kyr. Superimposed on the millennial variability, there were multidecadal-centennial flow speed fluctuations during the early Holocene (10-9 kyr) and one prominent minimum at 0.9 kyr. We find a broad agreement between reconstructed ISOW and regional North Atlantic climate, where a strong (weak) ISOW is generally associated with warm (cold) climate. We further identify the possible contribution of anomalous heat and freshwater forcing, respectively, related to reconstructed overflow variability. We infer that ocean poleward heat transport can explain the relationship between regional climate and ISOW during the middle to late Holocene, whereas freshwater input provides a possible explanation for the reduced overflow during early Holocene (8-10 kyr).
Keyword(s):	AMOC; AMV; ISOW; NAC; Norwegian Atlantic Current; THC
Related to:	Mjell, Tor Lien; Ninnemann, Ulysses S; Eldevik, Tor; Kleiven, Helga F (2015): Holocene multidecadal- to millennial-scale variations in Iceland-Scotland overflow and their relationship to climate. Paleoceanography, 30(5), 558-569, https://doi.org/10.1002/2014PA002737
Coverage:	LATITUDE: 53.538780 * LONGITUDE: -23.966670
	MINIMUM DEPTH, sediment/rock: 0.0050 m * MAXIMUM DEPTH, sediment/rock: 4.8050 m
Event(s):	GS06-144-08GC * LATITUDE: 53.538780 * LONGITUDE: -23.966670 * ELEVATION: -2081.0 m * METHOD/DEVICE: Gravity corer (GC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Mjell, Tor Lien (mr.mjell@gmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Mjell, Tor Lien (mr.mjell@gmail.com)
	Sortable-silt mean size, average [µm] (SS avg) * PI: Mjell, Tor Lien (mr.mjell@gmail.com)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	867 data points
*/
Depth sed [m]	Age [ka BP]	SS avg [µm]
0.0050	0.3907	19.33
0.0100	0.3974	19.51
0.0150	0.4041	19.72
0.0200	0.4109	19.74
0.0250	0.4176	19.56
0.0300	0.4243	19.45
0.0350	0.4310	19.47
0.0400	0.4377	19.54
0.0450	0.4444	19.21
0.0500	0.4511	19.01
0.0550	0.4578	19.46
0.0600	0.4645	19.81
0.0650	0.4713	19.78
0.0700	0.4780	19.40
0.0750	0.4847	19.31
0.0800	0.4914	19.52
0.0850	0.4981	18.89
0.0900	0.5048	19.50
0.0950	0.5115	19.28
0.1050	0.5250	19.16
0.1100	0.5317	18.40
0.1150	0.5384	19.01
0.1200	0.5451	19.08
0.1255	0.5525	18.80
0.1310	0.5599	18.83
0.1365	0.5673	19.31
0.1420	0.5746	18.86
0.1475	0.5820	19.00
0.1530	0.5894	19.57
0.1585	0.5968	19.23
0.1640	0.6042	18.98
0.1695	0.6116	18.86
0.1750	0.6189	19.61
0.1805	0.6263	19.63
0.1860	0.6337	19.11
0.1915	0.6411	20.02
0.1970	0.6485	19.51
0.2025	0.6559	18.99
0.2080	0.6632	19.38
0.2135	0.6706	19.20
0.2190	0.6780	19.16
0.2245	0.6854	19.10
0.2300	0.6928	18.95
0.2355	0.7002	19.12
0.2410	0.7075	19.63
0.2465	0.7149	19.39
0.2520	0.7223	19.08
0.2575	0.7297	19.47
0.2630	0.7371	19.46
0.2685	0.7445	19.01
0.2740	0.7518	19.36
0.2795	0.7592	19.33
0.2850	0.7666	19.16
0.2905	0.7740	19.48
0.2960	0.7814	19.34
0.3000	0.7867	19.33
0.3050	0.7935	19.68
0.3100	0.8002	19.09
0.3150	0.8069	19.14
0.3200	0.8136	19.00
0.3250	0.8203	19.18
0.3300	0.8270	19.62
0.3350	0.8337	19.15
0.3400	0.8405	19.53
0.3450	0.8472	19.76
0.3500	0.8539	19.77
0.3550	0.8606	19.21
0.3600	0.8673	19.38
0.3650	0.8740	19.33
0.3700	0.8807	19.43
0.3750	0.8874	19.08
0.3800	0.8942	18.21
0.3850	0.9009	18.08
0.3900	0.9076	18.43
0.3950	0.9143	18.62
0.4000	0.9210	18.96
0.4050	0.9283	18.90
0.4100	0.9356	18.91
0.4150	0.9429	19.17
0.4200	0.9503	19.73
0.4250	0.9576	19.83
0.4300	0.9649	19.72
0.4350	0.9722	19.62
0.4400	0.9795	20.05
0.4450	0.9868	19.51
0.4500	0.9941	19.57
0.4550	1.0010	19.62
0.4650	1.0160	19.72
0.4700	1.0230	19.55
0.4750	1.0310	19.14
