/* DATA DESCRIPTION:
Citation:	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Sortable silt mean grain size of sediment core RAPiD-17-5P [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899381, 
	Supplement to: Moffa-Sanchez, P et al. (2015): Changes in the strength of the Nordic Seas Overflows over the past 3000 years. Quaternary Science Reviews, 123, 134-143, https://doi.org/10.1016/j.quascirev.2015.06.007
Abstract:	Changes in the vigour of the overflows may have had important climatic effects in the past and may also have in the future. We present sortable silt mean grain size data, as a proxy for near-bottom current speed, from sub-decadal to decadally resolved sediment cores located in the direct pathway of the two Nordic Overflows east and west of Iceland, the Iceland-Scotland Overflow Water (ISOW) and the Denmark Strait Overflow Water (DSOW) spanning the last 3000-4000 years. The cores were recovered from the South Iceland Rise (RAPiD-17-5P) and the Eirik Drift (RAPiD-35-COM) and their core-chronologies were constructed using radiocarbon dating. The sortable silt was measured using the Multisizer Coulter Counter 3 and the data presented consisted of the average of three different measurements.
Keyword(s):	Nordic Overflow strength
Related to:	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Radiocarbon age model of sediment core RAPiD-35-14P [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899838
	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Sortable silt mean grain size of sediment core RAPiD-35-COM [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899382
Coverage:	LATITUDE: 61.466000 * LONGITUDE: -19.533000
	MINIMUM DEPTH, sediment/rock: 0.0125 m * MAXIMUM DEPTH, sediment/rock: 2.2375 m
Event(s):	RAPiD-17-5P (CD159-17) * LATITUDE: 61.466000 * LONGITUDE: -19.533000 * ELEVATION: -2303.0 m * RECOVERY: 14.41 m * LOCATION: South of Iceland * CAMPAIGN: CD159 (URI: http://publications.esc.cam.ac.uk:8080/1521/) * BASIS: Charles Darwin * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * COMMENT: Mid-depth
	AGE [ka BP] (Age) * GEOCODE * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * METHOD/DEVICE: Age, 14C AMS, linear interpolation * COMMENT: See Moffa-Sanchez et al. (2014a): doi:10.1038/ngeo2094
	Sortable-silt mean size, average [µm] (SS avg) * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * METHOD/DEVICE: Sortable silt mean grain size analysis (McCave et al., 1995) (URI: https://doi.org/10.1029/94pa03039)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	439 data points
*/
Depth sed [m]	Age [ka BP]	SS avg [µm]
0.0125	0.15662	31.40
0.0175	0.16283	31.20
0.0225	0.16904	30.40
0.0275	0.17524	31.40
0.0325	0.18145	29.40
0.0375	0.18766	29.00
0.0425	0.19387	31.00
0.0475	0.20008	30.80
0.0525	0.20628	30.50
0.0575	0.21249	31.90
0.0625	0.21870	32.10
0.0675	0.22491	32.00
0.0725	0.23112	31.00
0.0775	0.23732	30.40
0.0825	0.24353	31.20
0.0875	0.24974	32.10
0.0925	0.25595	31.20
0.0975	0.26216	32.40
0.1025	0.26836	31.00
0.1075	0.27457	30.90
0.1125	0.28078	30.20
0.1175	0.28699	30.60
0.1225	0.29320	31.80
0.1275	0.29940	31.50
0.1325	0.30561	32.00
0.1375	0.31182	31.70
0.1425	0.31803	31.70
0.1475	0.32424	32.10
0.1525	0.33044	31.60
0.1575	0.33665	30.30
0.1625	0.34286	31.20
0.1675	0.34907	31.70
0.1725	0.35528	32.90
0.1775	0.36148	31.70
0.1825	0.36769	30.20
0.1875	0.37390	31.70
0.1925	0.38011	32.70
0.1975	0.38632	31.10
0.2025	0.39252	31.60
0.2075	0.39873	31.60
0.2125	0.40494	32.90
0.2175	0.41115	32.80
0.2225	0.41736	32.50
0.2275	0.42356	32.10
0.2325	0.42977	33.00
0.2375	0.43598	32.20
0.2425	0.44219	32.60
0.2475	0.44840	31.80
0.2525	0.45460	31.80
0.2575	0.46081	33.40
0.2625	0.46702	32.80
0.2675	0.47323	32.50
0.2725	0.47944	32.90
0.2775	0.48564	31.60
0.2825	0.49185	31.40
0.2875	0.49806	31.10
0.2925	0.50427	32.00
0.2975	0.51048	30.50
0.3025	0.51668	32.10
0.3075	0.52289	31.70
0.3125	0.52910	32.00
0.3175	0.53531	32.30
0.3225	0.54152	31.80
0.3275	0.54772	31.40
0.3325	0.55393	30.40
0.3375	0.56014	32.70
0.3425	0.56635	30.90
0.3475	0.57256	33.00
0.3525	0.57876	32.50
0.3575	0.58497	32.60
0.3625	0.59118	31.60
0.3675	0.59739	32.00
0.3725	0.60360	32.70
0.3775	0.60980	32.20
0.3825	0.61601	33.30
0.3875	0.62222	31.80
0.3925	0.62843	33.00
0.3975	0.63464	33.00
0.4025	0.64084	31.70
0.4075	0.64705	31.70
0.4125	0.65326	32.00
0.4175	0.65947	31.10
0.4225	0.66568	30.00
0.4275	0.67188	31.40
0.4325	0.67809	31.10
0.4375	0.68430	31.10
0.4425	0.69051	31.70
0.4475	0.69672	30.60
0.4525	0.70292	29.70
0.4575	0.70913	30.20
0.4625	0.71534	30.50
0.4675	0.72155	30.40
0.4725	0.72776	31.60
0.4775	0.73396	32.50
0.4825	0.74017	32.50
0.4875	0.74638	32.80
0.4925	0.75259	33.70
0.4975	0.75880	31.60
0.5025	0.76500	31.70
0.5075	0.77121	31.20
0.5125	0.77742	31.70
0.5175	0.78363	32.10
0.5225	0.78984	33.50
0.5275	0.79604	34.30
0.5325	0.80225	34.00
0.5375	0.80846	33.40
0.5425	0.81467	31.80
0.5475	0.82088	31.50
0.5525	0.82708	32.40
0.5575	0.83329	33.40
0.5625	0.83950	31.30
0.5675	0.84571	31.60
0.5725	0.85192	32.60
0.5775	0.85812	31.90
0.5825	0.86433	32.70
0.5875	0.87054	32.60
0.5925	0.87675	32.70
0.5975	0.88296	31.80
0.6025	0.88916	33.90
0.6075	0.89537	32.10
0.6125	0.90158	33.80
0.6175	0.90779	32.80
0.6225	0.91400	33.10
0.6275	0.92020	33.30
0.6325	0.92641	31.00
0.6375	0.93262	33.10
0.6425	0.93883	31.20
0.6475	0.94504	31.20
0.6525	0.95124	32.70
0.6575	0.95745	31.90
0.6625	0.96366	32.80
0.6675	0.96987	31.60
0.6725	0.97608	31.50
0.6775	0.98228	32.70
0.6825	0.98849	32.10
0.6875	0.99470	31.10
0.6925	1.00091	30.90
0.6975	1.00712	32.30
0.7025	1.01332	31.80
0.7075	1.01953	33.70
0.7125	1.02574	33.00
0.7175	1.03195	33.80
0.7225	1.03816	34.30
0.7275	1.04436	34.40
0.7325	1.05057	34.50
0.7375	1.05678	34.20
0.7425	1.06299	34.40
