/* DATA DESCRIPTION:
Citation:	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Sortable silt mean grain size of sediment core RAPiD-35-COM [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899382, 
	Supplement to: Moffa-Sanchez, P et al. (2015): Changes in the strength of the Nordic Seas Overflows over the past 3000 years. Quaternary Science Reviews, 123, 134-143, https://doi.org/10.1016/j.quascirev.2015.06.007
Abstract:	Changes in the vigour of the overflows may have had important climatic effects in the past and may also have in the future. We present sortable silt mean grain size data, as a proxy for near-bottom current speed, from sub-decadal to decadally resolved sediment cores located in the direct pathway of the two Nordic Overflows east and west of Iceland, the Iceland-Scotland Overflow Water (ISOW) and the Denmark Strait Overflow Water (DSOW) spanning the last 3000-4000 years. The cores were recovered from the South Iceland Rise (RAPiD-17-5P) and the Eirik Drift (RAPiD-35-COM) and their core-chronologies were constructed using radiocarbon dating. The sortable silt was measured using the Multisizer Coulter Counter 3 and the data presented consisted of the average of three different measurements.
Keyword(s):	Nordic Overflow strength
Related to:	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Radiocarbon age model of sediment core RAPiD-35-14P [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899838
	Moffa-Sanchez, Paola; Hall, Ian R; Thornalley, David J R; Barker, Stephen; Stewart, Connor (2019): Sortable silt mean grain size of sediment core RAPiD-17-5P [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.899381
Coverage:	LATITUDE: 57.504170 * LONGITUDE: -48.722330
	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 1.6950 m
Event(s):	RAPiD-35-COM * LATITUDE: 57.504170 * LONGITUDE: -48.722330 * ELEVATION: -3484.0 m * LOCATION: Eirik Ridge * CAMPAIGN: CD159 (URI: http://publications.esc.cam.ac.uk:8080/1521/) * BASIS: Charles Darwin * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: Composite record comprising box-core RAPiD-35-25B and the piston core RAPiD-35-14P
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * COMMENT: Mid-depth
	AGE [ka BP] (Age) * GEOCODE * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * METHOD/DEVICE: Age, 14C calibrated, BChron (Haslett and Parnell 2008, Parnell et al. 2011) with MARINE13 calibration curve (Reimer et al. 2013) (URI: https://doi.org/10.1016/j.quascirev.2011.07.024)
	Sortable-silt mean size, average [µm] (SS avg) * PI: Moffa-Sanchez, Paola (https://orcid.org/0000-0003-1857-8954, paola.l.moffa-sanchez@durham.ac.uk) * METHOD/DEVICE: Sortable silt mean grain size analysis (McCave et al., 1995) (URI: https://doi.org/10.1029/94pa03039)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	228 data points
*/
Depth sed [m]	Age [ka BP]	SS avg [µm]
0.0025	0.03535	22.81
0.0075	0.05255	22.57
0.0125	0.06668	22.58
0.0175	0.08087	22.70
0.0225	0.09473	23.73
0.0275	0.10892	22.92
0.0325	0.12302	24.83
0.0375	0.13708	23.55
0.0425	0.15108	23.52
0.0475	0.16471	23.79
0.0525	0.17864	23.91
0.0575	0.19277	23.74
0.0625	0.20662	23.54
0.0675	0.22068	25.69
0.0725	0.23474	24.56
0.0775	0.24887	25.16
0.0825	0.26268	24.88
0.0875	0.27670	24.41
0.0925	0.29083	24.24
0.0975	0.30493	23.60
0.1025	0.31898	23.00
0.1075	0.33269	24.61
0.1125	0.34679	23.56
0.1175	0.36064	20.92
0.1225	0.37459	18.65
0.1275	0.38850	22.08
0.1325	0.40230	21.47
0.1375	0.41621	18.90
0.1425	0.43013	23.42
0.1475	0.44417	20.65
0.1525	0.45780	24.10
0.1575	0.47189	21.10
0.1625	0.48625	23.33
0.1675	0.50574	20.90
0.1725	0.52461	22.70
0.1775	0.53949	23.56
0.1825	0.55451	23.50
0.1875	0.56946	22.00
0.1925	0.58434	22.97
0.1975	0.59920	22.32
0.2025	0.61392	21.82
0.2075	0.62856	24.21
0.2125	0.64294	22.99
0.2175	0.65741	23.16
0.2225	0.67400	22.85
0.2275	0.69058	23.72
0.2325	0.70381	22.02
0.2375	0.71450	23.16
0.2425	0.72440	20.46
0.2475	0.73404	21.48
0.2525	0.74364	24.33
0.2575	0.75304	23.12
0.2625	0.76254	23.53
0.2675	0.77174	24.10
0.2725	0.78115	24.51
0.2775	0.79082	26.02
0.2825	0.80147	21.09
0.2875	0.81626	24.53
0.2925	0.83256	24.11
0.2975	0.84496	22.90
0.3025	0.85618	23.61
0.3075	0.86683	23.55
0.3125	0.87716	21.27
0.3175	0.88786	23.60
0.3225	0.89816	24.64
0.3275	0.90837	24.55
0.3325	0.91849	24.21
0.3375	0.92881	19.96
0.3425	0.93882	21.45
0.3475	0.94911	21.18
0.3525	0.96006	24.42
0.3575	0.97200	20.79
0.3625	0.98862	23.16
0.3675	1.00691	23.03
0.3725	1.02047	21.88
0.3775	1.03255	23.01
0.3825	1.04425	23.25
0.3875	1.05577	23.51
0.3925	1.06712	20.69
0.3975	1.07856	22.41
0.4025	1.09073	24.79
0.4075	1.10279	23.49
0.4125	1.11458	23.12
0.4175	1.12686	21.39
0.4225	1.13937	22.12
0.4275	1.15231	22.85
0.4325	1.16656	20.35
0.4375	1.18664	20.56
0.3050	1.23163	21.72
0.3150	1.26167	21.36
0.3250	1.28673	20.89
0.3350	1.31104	20.08
0.3450	1.33602	21.57
0.3550	1.36114	21.64
0.3650	1.38705	21.19
0.3750	1.41299	25.05
0.3850	1.43938	20.54
0.3950	1.47227	22.16
0.4050	1.51219	22.65
0.4150	1.54301	21.61
0.4250	1.57318	23.54
0.4350	1.60389	24.90
0.4450	1.63478	23.35
0.4550	1.66547	22.59
0.4650	1.69626	22.38
0.4750	1.72728	23.01
0.4850	1.75841	24.71
0.4950	1.78873	23.02
0.5050	1.81896	23.35
0.5150	1.84933	22.80
0.5250	1.88062	20.99
0.5350	1.91899	22.10
0.5450	1.94726	21.92
0.5550	1.96888	22.67
0.5650	1.99018	21.13
