tag,Q_X,p_perm,tau_fit,tau_obs_NA,chi2_nu,n_cells,drift_K_per_year,verdict
a0o0,0.2715875340522202,0.001,37.66410547443268,144.0,5.587596893310547,1045,,falsified
a0o1,,,,,,,0.43567724107150096,deferred
a0o2,,,,,,,0.2309563858547538,deferred
a0o3,,,,,,,0.44175631308163543,deferred
a1o0,0.18715922396197776,0.001,39.378723411043374,144.0,6.568042755126953,1045,,falsified
a1o1,,,,,,,0.5254229693141592,deferred
a1o2,,,,,,,1.9312415384181376,deferred
a1o3,-0.005186635812926406,0.92,43.88591617069213,144.0,6.131877899169922,1045,,falsified
a2o0,0.17703037914396003,0.001,45.91235698952435,144.0,5.2112507820129395,1045,,falsified
a2o1,-0.08234788993315191,0.052,29.710522358606568,144.0,5.529481887817383,1045,,falsified
a2o2,,,,,,,0.32699765251514035,deferred
a2o3,0.04525816581421533,0.319,34.06173060283749,144.0,6.05820894241333,1045,,falsified
a3o0,0.16305491809800898,0.001,40.52360656577575,144.0,5.185431957244873,1045,,falsified
a3o1,0.0513266785674251,0.241,38.517024624790444,144.0,6.178333759307861,1045,,falsified
a3o2,-0.1840386497882158,0.001,29.78857194855586,144.0,7.014004230499268,1045,,falsified
a3o3,,,,,,,6.060393531581552,deferred
basin_pacific,-0.028693349965140356,0.482,24.988569796851987,144.0,5.743435859680176,1202,,falsified
basin_southern,0.23896499653574074,0.001,29.474015863366922,144.0,3.075446844100952,795,,deferred
ic_1985,0.17972750707785318,0.001,38.22860761378674,144.0,6.827893257141113,1045,,falsified
ic_1990,0.26537319334076487,0.001,30.529958881456526,144.0,5.324276924133301,1045,,falsified
ic_1995,0.014015079168142933,0.766,39.62249723193388,144.0,7.7020978927612305,1045,,falsified
ic_2000,0.07204876782852968,0.105,31.299130502829055,144.0,7.080044746398926,1045,,falsified
ic_2005,0.22672974057546266,0.001,35.9139342747116,144.0,5.5501627922058105,1045,,falsified
ic_2015,0.2391102686373674,0.001,33.961401897094945,144.0,6.468708038330078,1045,,falsified
ic_2020,0.22954605617429422,0.001,40.206289210238715,144.0,6.760446071624756,1045,,falsified
postprocess,0.2715875340522202,0.001,37.66410547443268,144.0,5.587596893310547,1045,,falsified
smoke,,,,,,,0.17353820800787711,deferred
