site,longitude,latitude,origin,doi_link
108_658,-18.5808,20.7492,PublicationDOI,10.2312/reports-gpi.1991.46
108_658,-18.5808,20.7492,PublicationDOI,10.2973/odp.proc.sr.108.169.1989
108_658,-18.5808,20.7492,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.68570
108_658,-18.5808,20.7492,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.68589
108_658,-18.5808,20.7492,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.746245
108_658C,-18.5808,20.7492,PublicationDOI,no DOI
108_658C,-18.5808,20.7492,PublicationDOI,10.1029/94PA03354
108_658C,-18.5808,20.7492,PublicationDOI,10.1126/science.288.5474.2198
108_658C,-18.5808,20.7492,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.227736
108_658C,-18.5808,20.7492,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.52711
108_658C,-18.5808,20.7492,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp658c-tab.txt
108_659,-21.0262,18.0772,PublicationDOI,10.2312/reports-gpi.1991.46
108_659,-21.0262,18.0772,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.194774
108_659,-21.0262,18.0772,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.68591
108_664B,-23.2275,0.1073,PublicationDOI,10.1029/97PA01019
108_664B,-23.2275,0.1073,PublicationDOI,10.2973/odp.proc.sr.108.165.1989
108_664B,-23.2275,0.1073,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.53160
108_664B,-23.2275,0.1073,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.746237
117_723A,57.609,18.0518,PublicationDOI,10.1016/j.marmicro.2010.09.006
117_723A,57.609,18.0518,PublicationDOI,10.1016/S0031-0182(03)00629-1
117_723A,57.609,18.0518,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.775098
117_723A,57.609,18.0518,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.695217
121_758,90.361167,5.384067,PublicationDOI,10.1029/94PA02290
121_758,90.361167,5.384067,PublicationDOI,10.2973/odp.proc.sr.121.124.1991
121_758,90.361167,5.384067,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.52683
121_758,90.361167,5.384067,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.759095
130_806B,159.361,0.3185,PublicationDOI,10.2973/odp.proc.sr.130.023.1993
130_806B,159.361,0.3185,PublicationDOI,10.1007/BF02369003
130_806B,159.361,0.3185,PublicationDOI,10.2973/odp.proc.sr.130.025.1993
130_806B,159.361,0.3185,PublicationDOI,10.2973/odp.proc.sr.130.024.1993
130_806B,159.361,0.3185,PublicationDOI,10.1126/science.1115933
130_806B,159.361,0.3185,PublicationDOI,10.2973/odp.proc.ir.130.1991
130_806B,159.361,0.3185,PublicationDOI,10.2973/odp.proc.sr.130.002.1993
130_806B,159.361,0.3185,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.52113
130_806B,159.361,0.3185,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.772014
130_806B,159.361,0.3185,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.251902
130_806B,159.361,0.3185,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.782431
133_819A,146.3247,-16.624,PublicationDOI,10.2973/odp.proc.sr.133.224.1993
133_819A,146.3247,-16.624,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.785599
133_819A,146.3247,-16.624,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.785606
154_925C,-43.49,4.2,PublicationDOI,10.2973/odp.proc.sr.154.110.1997
154_925C,-43.49,4.2,PublicationDOI,10.5194/cp-13-779-2017
154_925C,-43.49,4.2,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.874320
154_927,-44.48,5.46,PublicationDOI,10.2973/odp.proc.sr.154.110.1997
154_927,-44.48,5.46,PublicationDOI,10.5194/cp-13-779-2017
154_927,-44.48,5.46,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.874320
154_929,-43.74,5.98,PublicationDOI,10.2973/odp.proc.sr.154.110.1997
154_929,-43.74,5.98,PublicationDOI,10.5194/cp-13-779-2017
154_929,-43.74,5.98,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.874320
160_963A,13.1816,37.0322,PublicationDOI,10.1016/j.palaeo.2011.04.030
160_963A,13.1816,37.0322,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.778314
161_976,-4.312667,36.205367,PublicationDOI,10.1016/j.quascirev.2014.06.016
161_976,-4.312667,36.205367,PublicationDOI,10.1002/2014PA002710
161_976,-4.312667,36.205367,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.787827
161_976,-4.312667,36.205367,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.847255
161_976,-4.312667,36.205367,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.847256
162_983,-23.640667,60.4035,PublicationDOI,10.1029/1998PA900021
162_983,-23.640667,60.4035,PublicationDOI,10.1038/nature14330
162_983,-23.640667,60.4035,PublicationDOI,10.1016/S0012-821X(97)00164-7
162_983,-23.640667,60.4035,PublicationDOI,10.1029/2003PA000921
162_983,-23.640667,60.4035,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.856933
162_983,-23.640667,60.4035,DataLink,no link
167_1011C,-117.633,31.2803,PublicationDOI,10.2973/odp.proc.sr.167.225.2000
167_1011C,-117.633,31.2803,PublicationDOI,10.2973/odp.proc.sr.167.214.2000
167_1011C,-117.633,31.2803,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.793474
167_1011C,-117.633,31.2803,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.794485
167_1014,-119.981,32.833867,PublicationDOI,10.2973/odp.proc.sr.167.205.2000
167_1014,-119.981,32.833867,PublicationDOI,10.1029/2004GL020138
167_1014,-119.981,32.833867,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.742763
167_1014,-119.981,32.833867,DataLink,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/odp1014a-tab.txt
167_1017E,-121.107,34.535,PublicationDOI,10.2973/odp.proc.sr.167.242.2000
167_1017E,-121.107,34.535,PublicationDOI,10.2973/odp.proc.sr.167.210.2000
167_1017E,-121.107,34.535,PublicationDOI,10.2973/odp.proc.sr.167.222.2000
167_1017E,-121.107,34.535,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.774021
167_1017E,-121.107,34.535,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.796267
167_1017E,-121.107,34.535,DataLink,https://doi.pangaea.de/10.1594/PANGAEA.797440
167_1018C,-123.275,36.9898,PublicationDOI,10.2973/odp.proc.sr.167.225.2000
